Annual_income,age,experience,Type_Income,Type_Occupation,Marital_status,Housing_type
180000.0,51,0,Pensioner,Laborers,Married,House / apartment
315000.0,37,2,Commercial associate,Laborers,Married,House / apartment
315000.0,44,2,Commercial associate,Laborers,Married,House / apartment
191399.0,37,2,Commercial associate,Laborers,Married,House / apartment
315000.0,37,2,Commercial associate,Laborers,Married,House / apartment
315000.0,37,2,Pensioner,Laborers,Married,House / apartment
315000.0,37,2,Commercial associate,Laborers,Married,House / apartment
180000.0,61,0,Pensioner,Laborers,Married,House / apartment
450000.0,50,2,Commercial associate,Core staff,Married,House / apartment
450000.0,50,2,Pensioner,Core staff,Married,House / apartment
450000.0,50,2,Commercial associate,Core staff,Single / not married,House / apartment
90000.0,52,3,Working,Cooking staff,Married,House / apartment
191399.0,52,3,Working,Cooking staff,Married,House / apartment
90000.0,52,3,Working,Cooking staff,Married,House / apartment
472500.0,24,3,Pensioner,Laborers,Married,With parents
270000.0,46,1,Working,Laborers,Married,House / apartment
270000.0,46,1,Working,Laborers,Single / not married,House / apartment
126000.0,52,7,Commercial associate,Sales staff,Single / not married,House / apartment
126000.0,52,7,Commercial associate,Sales staff,Single / not married,House / apartment
90000.0,52,5,Pensioner,Laborers,Married,House / apartment
202500.0,35,12,Working,Laborers,Single / not married,House / apartment
202500.0,33,5,Commercial associate,Laborers,Civil marriage,House / apartment
157500.0,49,3,Commercial associate,Accountants,Civil marriage,House / apartment
112500.0,33,3,Commercial associate,Sales staff,Married,House / apartment
180000.0,44,2,Working,Laborers,Married,House / apartment
540000.0,43,1,Commercial associate,Laborers,Married,House / apartment
112500.0,60,0,Pensioner,Laborers,Married,House / apartment
191399.0,60,0,Pensioner,Laborers,Married,House / apartment
292500.0,30,9,Working,High skill tech staff,Married,House / apartment
540000.0,55,2,Commercial associate,Managers,Married,House / apartment
90000.0,33,13,Working,Cleaning staff,Single / not married,Rented apartment
112500.0,60,0,Pensioner,Laborers,Married,House / apartment
135000.0,29,7,Working,Laborers,Single / not married,House / apartment
135000.0,44,1,Working,Sales staff,Married,House / apartment
180000.0,36,10,Working,Laborers,Married,House / apartment
112500.0,56,4,State servant,Drivers,Single / not married,House / apartment
292500.0,58,2,Working,Drivers,Married,House / apartment
76500.0,65,0,Pensioner,Laborers,Married,House / apartment
215100.0,53,4,Commercial associate,Laborers,Married,House / apartment
450000.0,44,2,Commercial associate,Laborers,Separated,House / apartment
270000.0,44,20,State servant,Laborers,Married,House / apartment
225000.0,64,0,Pensioner,Laborers,Single / not married,House / apartment
225000.0,64,0,Pensioner,Laborers,Single / not married,House / apartment
225000.0,64,0,Pensioner,Laborers,Single / not married,House / apartment
157500.0,42,6,Commercial associate,Low-skill Laborers,Single / not married,House / apartment
157500.0,42,6,Pensioner,Low-skill Laborers,Single / not married,House / apartment
67500.0,52,11,Commercial associate,Accountants,Married,House / apartment
180000.0,30,3,Commercial associate,Laborers,Married,House / apartment
180000.0,30,3,Commercial associate,Laborers,Married,House / apartment
157500.0,50,20,Working,Laborers,Married,House / apartment
157500.0,50,20,Working,Laborers,Married,House / apartment
171000.0,32,0,Commercial associate,High skill tech staff,Single / not married,House / apartment
135000.0,26,2,Working,Laborers,Married,House / apartment
135000.0,26,2,Working,Laborers,Married,House / apartment
103500.0,28,2,Working,IT staff,Married,House / apartment
103500.0,28,2,Working,IT staff,Married,House / apartment
225000.0,49,9,Working,Drivers,Married,House / apartment
225000.0,49,9,Working,Drivers,Married,House / apartment
225000.0,49,9,Working,Drivers,Married,House / apartment
180000.0,51,6,Commercial associate,Managers,Married,House / apartment
157500.0,45,4,Working,Drivers,Married,House / apartment
157500.0,45,4,Working,Drivers,Married,House / apartment
180000.0,46,23,Working,Laborers,Married,House / apartment
180000.0,46,23,Working,Laborers,Single / not married,House / apartment
99000.0,67,0,Pensioner,Laborers,Separated,House / apartment
191399.0,67,0,Pensioner,Laborers,Separated,House / apartment
99000.0,67,0,Pensioner,Laborers,Separated,House / apartment
99000.0,67,0,Pensioner,Laborers,Separated,House / apartment
391500.0,25,1,Working,Sales staff,Single / not married,Municipal apartment
391500.0,25,1,Working,Sales staff,Single / not married,Municipal apartment
391500.0,44,1,Working,Sales staff,Single / not married,Municipal apartment
65250.0,57,0,Pensioner,Laborers,Married,House / apartment
72900.0,64,0,Pensioner,Laborers,Married,House / apartment
225000.0,59,0,Pensioner,Laborers,Married,Municipal apartment
67500.0,25,4,Commercial associate,Waiters/barmen staff,Married,House / apartment
180000.0,35,0,Working,Laborers,Single / not married,House / apartment
191399.0,35,0,Working,Laborers,Single / not married,House / apartment
202500.0,42,11,Working,High skill tech staff,Married,House / apartment
157500.0,52,4,Commercial associate,Laborers,Married,House / apartment
202500.0,26,8,Working,Laborers,Married,Rented apartment
